acidosGraxosMonoInsaturados,acidosGraxosPoliInsaturados,acidosGraxosSaturados,acidosGraxosTrans,calcio,carboidratoDisponível,carboidratoTotal,cobre,colesterol,energia,equivalenteFolato,ferro,fibraAlimentar,fosforo,lipidios,magnesio,niacina,nome,potassio,proteina,riboflavina,selenio,sodio,tiamina,umidade,vitaminaARAE,vitaminaARE,vitaminaB12,vitaminaB6,vitaminaC,vitaminaD,vitaminaE,zinco
116,"15,2","0,85","7,78","0,98","43,3","44,7",191,"0,00",453,"0,24","0,68","1,34","40,2","28,4","1,96","0,08","Brownie, c/ doce de leite, caseiro","35,5","4,69","0,79","0,70","47,8","0,34","21,4","3,24","0,21","0,30","0,09",tr,258,255,107
"90,7","6,85","0,72","10,2","2,51","0,20","2,09",327,"0,00",27,"0,41",NA,"1,89",197,"0,69","2,82","0,08","Broto de alfafa, s/ oleo, c/ sal","21,9","3,98","0,02","2,61","13,0","0,00","92,5","21,7","0,26","4,15","0,32","0,37",NA,"7,97",269
"91,0","6,87","0,40","10,3","2,52","0,20","2,10",329,"0,00",27,"0,41",NA,"1,90","70,0","0,69","2,83","0,08","Broto de alfafa, in natura","22,0","3,99","0,02","2,62","13,0","0,00","92,8","21,8","0,26","4,17","0,32","0,37","8,00","8,00",270
"91,3","5,20","1,70","3,17","0,23","2,08","2,11",296,"0,00",207,"4,01","0,21","0,03",283,"10,4","2,36","0,03","Carne, boi, file mignon, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limao e mostarda), c/ sal","24,6","26,5","0,15","3,36","16,3","0,24","59,3","0,02","0,12","3,48","0,08","0,04","0,05","0,03",264
"44,6","3,28","1,04","3,44","0,78","0,83","1,34",265,"0,00",186,"1,61","0,18","0,51",118,"8,34","1,58","0,02","Carne, boi, lagarto, cozida, c/ molho de tomate (tomate, c/ oleo, cebola e alho), s/ sal","13,6","26,6","0,62","5,62","5,15","0,00","63,0","4,17","0,06","2,04","0,01","0,01","29,6","16,0",141
"44,4","3,27","1,49","3,43","0,78","0,82","1,33",263,"0,00",185,"1,61","0,18","0,51",298,"8,30","1,57","0,02","Carne, boi, lagarto, cozida, c/ molho de tomate (tomate, c/ oleo, cebola e alho), c/ sal","13,5","26,5","0,61","5,59","5,24","0,00","62,7","4,15","0,06","2,03","0,01","0,01","29,5","15,9",140
"27,9","2,13","1,06","2,26","0,77","3,31","4,86",245,"0,00",138,"1,43","0,11","1,55",162,"5,69","1,28","0,04","Carne, boi, lagarto, cozida, c/ cenoura e ervilha, c/ molho de tomate (tomate, c/ oleo, cebola e alho), s/ sal","14,6","17,6","0,78","3,72","9,73","0,00","70,8","0,38","0,08","1,54","0,01","0,02",129,"65,3",104
"27,9","2,12","1,50","2,25","0,75","3,29","4,83",244,"0,00",138,"1,43","0,11","1,54",340,"5,67","1,28","0,04","Carne, boi, lagarto, cozida, c/ cenoura e ervilha, c/ molho de tomate (tomate, c/ oleo, cebola e alho), c/ sal","14,5","17,6","0,77","3,72","9,79","0,00","70,4","0,38","0,08","1,54","0,01","0,02",128,"65,0",104
"52,3","8,24","0,97","8,12","5,09","0,00","0,00",233,"0,00",292,"1,24","0,45","0,00","43,6","23,5","1,76","0,06","Carne, boi, fraldinha, c/ gordura, frita (c/ oleo de soja), s/ sal","17,4","20,0","1,18","4,76","3,53","0,13","55,6","4,74","0,08","3,44","0,07","0,02","4,48","4,48",134
"52,0","8,20","1,42","8,08","5,07","0,00","0,00",232,"0,00",290,"1,24","0,45","0,00",223,"23,4","1,75","0,06","Carne, boi, fraldinha, c/ gordura, frita (c/ oleo de soja), c/ sal","17,3","19,9","1,18","4,74","3,62","0,13","55,3","4,72","0,08","3,42","0,07","0,02","4,46","4,46",133
"54,3","7,30","0,86","6,50","0,30","0,00","0,00",274,"0,00",216,"5,58","0,43","0,00","51,2","16,1","1,54","0,08","Carne, boi, fraldinha, c/ gordura, crua","16,1","17,6","0,16","4,19","3,11","0,22","65,4",NA,"0,04","3,56","0,07","0,03","4,64","4,64",131
"64,9","12,1","0,70","10,4","0,50","0,04","0,04",206,"0,00",329,"5,04","0,55","0,00","38,8","25,9","2,03",tr,"Carne, boi, fraldinha, c/ gordura, cozida, s/ sal","14,5","24,0","0,28","6,50","3,21",NA,"49,3",NA,"0,07","1,61",tr,tr,tr,tr,160
"64,6","12,0","1,19","10,4","0,50","0,00","0,00",205,"0,00",330,"1,12","0,55","0,00",218,"25,9","2,02","0,00","Carne, boi, fraldinha, c/ gordura, cozida, s/ oleo, c/ sal","14,4","24,1","0,35","6,47","3,31","0,14","49,5","6,05","0,07","1,60","0,05","0,07",tr,tr,159
"61,6","11,7","0,71","10,2","1,20","0,65","0,78",211,"0,00",327,"4,79","0,53","0,14","36,9","25,8","1,95","0,00","Carne, boi, fraldinha, c/ gordura, cozida, c/ oleo, cebola e alho, s/ sal","14,6","23,0","0,43","6,19","3,88","0,00","49,7","0,03","0,08","1,53","0,00","0,01","0,00","0,00",156
"61,6","11,7","1,15","10,1","1,13","0,59","0,72",210,"0,00",326,"4,79","0,53","0,12",216,"25,7","1,95","0,00","Carne, boi, fraldinha, c/ gordura, cozida, c/ oleo, cebola e alho, c/ sal","14,5","23,0","0,41","6,19","3,92","0,00","49,4","0,03","0,08","1,53","0,00","0,01","0,00","0,00",155
"42,2","8,05","0,62","7,04","1,06","2,58","3,26",219,"0,00",239,"3,27","0,36","0,68","26,4","18,1","1,40","0,02","Carne, boi, fraldinha, c/ gordura, cozida, c/ batata e cenoura, c/ oleo, cebola e alho, s/ sal","12,5","16,1","0,51","4,30","5,97","0,00","62,0","0,10","0,07","1,31","0,00","0,03","99,1","49,5",114
"42,2","8,04","1,07","7,02","1,00","2,52","3,19",217,"0,00",237,"3,27","0,36","0,67",206,"18,0","1,40","0,02","Carne, boi, fraldinha, c/ gordura, cozida, c/ batata e cenoura, c/ oleo, cebola e alho, c/ sal","12,4","16,0","0,50","4,29","6,00","0,00","61,7","0,10","0,07","1,31","0,00","0,03","99,1","49,5",114
"50,3","3,10","0,97","2,30","0,10","0,75","0,75",324,"0,00",139,"1,08","0,13","0,00","54,2","6,22","1,58","0,11","Carne, boi, flanco, s/ gordura, cru","17,8","20,0","0,25","4,45","2,81","0,07","72,1",NA,"0,05","3,28","0,16",tr,"2,02","2,02",166
"62,0","3,90","0,86","2,80","0,10","0,01","0,01",248,"0,00",187,"2,78","0,16","0,00","41,7","7,77","2,77",tr,"Carne, boi, flanco, s/ gordura, cozida, s/ sal","13,6","29,4","0,33","5,55","3,53",NA,"62,0",NA,"0,07","2,32",tr,tr,"1,76","1,76",181
"58,9","3,89","0,86","2,94","0,82","0,62","0,76",251,"0,00",192,"2,65","0,16","0,14","39,7","8,59","2,65","0,00","Carne, boi, flanco, s/ gordura, cozida, c/ oleo, cebola e alho, s/ sal","13,8","28,1","0,47","5,29","4,19","0,00","61,7","0,03","0,08","2,20","0,00","0,01","1,67","1,67",176
"58,9","3,87","1,30","2,92","0,75","0,57","0,69",250,"0,00",191,"2,65","0,16","0,12",219,"8,48","2,65","0,00","Carne, boi, flanco, s/ gordura, cozida, c/ oleo, cebola e alho, c/ sal","13,7","28,0","0,45","5,29","4,22","0,00","61,5","0,03","0,08","2,20","0,00","0,01","1,67","1,67",175
