acidosGraxosMonoInsaturados,acidosGraxosPoliInsaturados,acidosGraxosSaturados,acidosGraxosTrans,calcio,carboidratoDisponível,carboidratoTotal,cobre,colesterol,energia,equivalenteFolato,ferro,fibraAlimentar,fosforo,lipidios,magnesio,niacina,nome,potassio,proteina,riboflavina,selenio,sodio,tiamina,umidade,vitaminaARAE,vitaminaARE,vitaminaB12,vitaminaB6,vitaminaC,vitaminaD,vitaminaE,zinco
"0,07","0,22","0,17","0,00","8,48","22,9","26,4","0,07","0,00",123,"16,9","0,44","3,51","48,9","0,56","12,1","1,98","Macarrao, trigo, integral, cozido, drenado, s/ sal","45,5","4,90","0,05","2,63","1,85","0,09","67,9","0,00","0,00","0,00","0,08","0,00","0,00","0,09","0,40"
"0,07","0,22","0,17","0,00","8,53","22,8","26,3","0,07","0,00",123,"16,9","0,44","3,50","48,8","0,56","12,1","1,97","Macarrao, trigo, integral, cozido, drenado, s/ oleo, c/ sal","45,4","4,89","0,05","2,62",129,"0,09","67,7",NA,NA,"0,00","0,08","0,00","0,00","0,09","0,40"
"1,44","1,08","2,66","0,07",101,"18,1","20,3","0,07","9,86",157,"20,4","0,61","2,30",122,"5,83","15,8","1,97","Macarrao, trigo, integral, c/ presunto, ervilha, queijo parmesao, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal",122,"6,86","0,16","4,35",378,"0,11","65,5","30,7","31,3","0,24","0,05","0,60","0,06","0,51","0,78"
"1,09","1,11","1,86","0,01","60,0","18,7","21,0","0,07","8,47",143,"20,9","0,57","2,29","95,0","4,50","15,0","2,05","Macarrao, trigo, integral, c/ presunto, ervilha, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal",123,"5,77","0,14","4,54",321,"0,12","67,5","32,0","32,7","0,19","0,04","0,62","0,03","0,52","0,62"
"0,30","0,80","0,29","0,00","9,11","19,1","22,5","0,08","0,00",114,"16,8","0,45","3,32","46,7","1,50","12,9","1,58","Macarrao, trigo, integral, c/ molho de tomate (tomate, c/ oleo, cebola e alho), s/ sal","98,0","4,27","0,05","2,18","82,3","0,10","71,2","13,7","27,3","0,00","0,08","4,07","0,00","0,30","0,37"
"0,30","0,79","0,29","0,00","9,18","19,1","22,4","0,08","0,00",113,"16,8","0,45","3,31","46,5","1,50","12,9","1,57","Macarrao, trigo, integral, c/ molho de tomate (tomate, c/ oleo, cebola e alho), c/ sal","97,6","4,27","0,05","2,17",269,"0,10","70,9","13,6","27,2","0,00","0,08","4,05","0,00","0,30","0,37"
"0,87","0,73","1,50","0,07","64,9","16,2","19,1","0,08","11,7",137,"15,0","0,50","2,91",103,"3,53","14,1","2,14","Macarrao, trigo, integral, c/ molho de tomate (tomate, c/ oleo, cebola e alho), c/ peito de frango, queijo parmesao, c/ oleo, cebola e alho, c/ sal",110,"8,66","0,06","3,07",388,"0,09","67,1","10,9","21,9","0,09","0,08","3,26","0,04","0,30","0,65"
"0,38","0,75","0,38","0,01","8,88","17,0","19,9","0,07","9,99",118,"15,5","0,44","2,93","66,7","1,65","12,9","2,26","Macarrao, trigo, integral, c/ molho de tomate (tomate, c/ oleo, cebola e alho), c/ peito de frango, c/ oleo, cebola e alho, c/ sal",110,"7,33","0,04","3,25",314,"0,10","70,0","11,6","23,1","0,01","0,07","3,45","0,00","0,30","0,44"
"0,77","0,70","1,42","0,07","68,9","16,4","19,3","0,21","24,5",130,"16,7","2,31","2,89","95,6","3,34","15,7","1,49","Macarrao, trigo, integral, c/ molho de tomate (tomate, c/ oleo, cebola e alho) e frutos do mar (camarao, lula e mexilhao), queijo parmesao, c/ oleo, cebola e alho, c/ sal","98,4","7,12","0,09","1,82",415,"0,09","68,6","12,2","20,8","0,65","0,08","3,58","0,04","0,37","0,78"
"0,27","0,71","0,30","0,00","13,1","17,2","20,2","0,21","23,5",111,"17,2","2,35","2,91","58,0","1,45","14,6","1,57","Macarrao, trigo, integral, c/ molho de tomate (tomate, c/ oleo, cebola e alho) e frutos do mar (camarao, lula e mexilhao), c/ oleo, cebola e alho, c/ sal","98,5","5,70","0,07","1,93",343,"0,09","71,3","12,9","22,0","0,61","0,07","3,78","0,00","0,38","0,57"
"0,63","0,75","1,16","0,01","39,4","21,5","24,4","0,06","3,71",137,"18,7","0,46","2,86","66,1","2,79","13,2","2,03","Macarrao, trigo, integral, c/ molho branco (leite, manteiga e farinha de trigo), s/ sal","78,5","5,01","0,11","3,67","21,3","0,09","67,4","19,5","19,8","0,11","0,06","0,00","0,00","0,35","0,45"
"0,62","0,75","1,16","0,01","39,3","21,4","24,3","0,06","3,69",136,"18,6","0,46","2,85","65,8","2,78","13,1","2,02","Macarrao, trigo, integral, c/ molho branco (leite, manteiga e farinha de trigo), c/ sal","78,2","4,99","0,11","3,65",208,"0,09","67,1","19,5","19,7","0,11","0,06","0,00","0,00","0,35","0,45"
"1,16","0,28","2,73","0,14","8,24","21,7","25,1","0,07","10,7",156,"16,2","0,42","3,34","46,8","4,84","11,6","1,88","Macarrao, trigo, integral, c/ manteiga, s/ sal","43,5","4,68","0,05","2,55","1,95","0,09","65,2","43,6","44,2","0,01","0,08",tr,"0,00","0,11","0,38"
"1,16","0,28","2,72","0,14","8,31","21,6","25,0","0,07","10,6",155,"16,1","0,42","3,32","46,6","4,81","11,6","1,87","Macarrao, trigo, integral, c/ manteiga, c/ sal","43,4","4,65","0,05","2,54",189,"0,09","64,9","43,4","44,0","0,01","0,07",tr,"0,00","0,11","0,38"
"0,88","0,88","1,46","0,07","63,5","16,0","18,8","0,17","11,0",136,"17,1","0,63","2,79",109,"3,64","14,3","4,17","Macarrao, trigo, integral, c/ frango e cogumelos, s/ sal",130,"8,26","0,09","5,80",286,"0,08","68,0","4,79","9,57","0,09","0,35","1,19","0,10","0,28","0,74"
"0,43","0,90","0,43","0,01","12,4","16,7","19,5","0,17","9,34",118,"17,9","0,58","2,82","75,8","1,91","13,4","4,39","Macarrao, trigo, integral, c/ frango e cogumelos, c/ sal",134,"7,03","0,08","6,11","25,6","0,09","71,0","5,94","11,9","0,02","0,36","1,38","0,07","0,28","0,56"
"1,57","4,07","1,13","0,03","8,61","22,2","25,6","0,09","0,00",178,"15,3","0,46","3,39","54,8","6,97","12,5","1,78","Macarrao, trigo, integral, c/ alho e oleo, s/ sal","79,4","4,82","0,05","2,53","2,05","0,10","62,3","0,00","0,00","0,00","0,10","1,50","0,00","0,93","0,42"
"1,56","4,05","1,13","0,03","8,68","22,1","25,5","0,09","0,00",177,"15,3","0,46","3,37","54,5","6,94","12,4","1,77","Macarrao, trigo, integral, ao alho e oleo, c/ sal","79,1","4,79","0,05","2,52",189,"0,09","62,0","0,00","0,00","0,00","0,10","1,49","0,00","0,93","0,42"
"0,45","0,80","0,47","0,01","8,93","19,0","22,2","0,08","3,62",121,"16,2","0,54","3,20","54,8","1,84","13,1","1,78","Macarrao, trigo, integral, a bolonhesa, c/ sal","98,7","5,46","0,06","2,38",269,"0,10","69,4","10,4","20,6","0,16","0,07","3,07","0,00","0,28","0,73"
"1,04","2,67","0,71",NA,"8,72","16,8","19,0","0,10","0,00",124,"24,4","0,80","2,19","38,0","4,60","8,99","2,13","Macarrao, trigo, intantaneo, cozido, light, c/ molho de tomate (tomate, c/ oleo de soja, cebola e alho), c/ sal",117,"2,75","0,02","0,11",501,"0,29","71,7","21,6","43,1","0,00","0,14","6,18","0,00","0,41","0,10"
"0,97","2,51","0,67",NA,"6,03","22,3","24,3",NA,"0,00",145,"27,1","0,91","2,02","38,0","4,35","5,90","3,03","Macarrao, trigo, intantaneo, cozido, drenado, light (com reducao de lipideos) (preparado conforme a embalagem)","32,0","3,17","0,01","0,00",546,"0,36","66,2","0,00","0,00","0,00","0,17","0,00","0,00","0,09","0,03"
"3,85","9,94","2,67",NA,"17,6","56,8","62,4","0,10","0,00",429,107,"3,17","5,61",112,"17,2","19,4","9,37","Macarrao, trigo, intantaneo, c/ tempero, cru",147,"8,79","0,04","4,68",1515,"1,18","5,97","0,00","0,00","0,00","0,53",tr,"0,00","0,36","0,50"
"1,39","3,58","0,96",NA,"6,03","20,5","22,5","0,03","0,00",154,"27,1","0,91","2,02","38,4","6,21","5,93","3,03","Macarrao, trigo, intantaneo, c/ tempero, cozido, drenado (preparado conforme a embalagem)","32,0","3,17","0,01","1,69",545,"0,36","66,2","0,00","0,00","0,00","0,17",tr,"0,00","0,13","0,18"
"9,91","3,96","2,47","0,89","17,6","56,8","62,4","0,10",NA,429,156,"0,80","5,61",112,"17,2","19,4","9,37","Macarrao, trigo, instantaneo, cru",147,"8,79","0,04",NA,1515,"1,18","5,97","0,00","0,00","0,00","0,53",tr,"0,00","2,55","0,50"
"0,11","0,22","0,15","0,03","6,19","26,0","26,9","0,05","3,06",125,"66,5","1,40","0,91","36,1","0,57","0,00","1,24","Macarrao, trigo, cozido, drenado, s/ oleo, c/ sal","29,4","3,54","0,01","1,78",189,"0,04","68,3","0,00","0,00","0,00","0,00","0,00","0,00","0,04","0,33"
"2,38","1,40","1,92","0,05","15,6","18,9","19,5","0,05",102,161,"55,5","1,50","0,64","71,5","6,38","3,27","1,28","Macarrao, trigo, cozido, c/ ovo mexido, c/ toucinho defumado (bacon), c/ sal","66,5","6,72","0,15","5,22",237,"0,05","66,5","44,5","44,6","0,30",tr,"0,00","0,50","0,44","0,63"
"0,22","0,56","0,22","0,03","10,6","19,0","20,3","0,05","2,12",100,"55,3","0,27","1,30","32,9","1,12","3,50","0,96","Macarrao, trigo, c/ vegetais, c/ sal","69,9","2,89","0,01","1,30",189,"0,04","74,9","33,7","67,3","0,00","0,02","17,2","0,00","0,43","0,29"
"0,23","0,57","0,22","0,03","10,6","19,1","20,4","0,05","2,13",101,"55,5","0,27","1,30","33,0","1,12","3,51","0,97","Macarrao, trigo, c/ vegetais,  s/ sal","70,2","2,90","0,01","1,30","1,81","0,04","75,3","33,8","67,6","0,00","0,02","17,3","0,00","0,43","0,29"
"0,62","1,37","0,69","0,02","36,9","18,3","19,4","0,08","12,2",125,"48,5","0,46","1,15","75,7","2,82","7,57","1,73","Macarrao, trigo, c/ sardinha fresca, salsa, c/ molho de tomate (tomate, c/ oleo, cebola e alho), s/ sal",128,"6,01","0,02","8,49","70,7","0,05","71,1","13,0","26,1","0,70","0,03","3,84","0,17","0,45","0,58"
"0,62","1,37","0,69","0,02","36,0","18,2","19,4","0,08","12,2",125,"47,9","0,45","1,13","75,4","2,82","7,46","1,73","Macarrao, trigo, c/ sardinha fresca, salsa, c/ molho de tomate (tomate, c/ oleo, cebola e alho), c/ sal",124,"6,00","0,02","8,49",258,"0,05","70,7","11,7","23,5","0,70","0,03","3,68","0,17","0,44","0,58"
"1,10","2,55","0,83","0,03","63,8","18,4","19,6","0,07","9,44",141,"48,1","0,84","1,15",103,"4,84","8,37","1,66","Macarrao, trigo, c/ sardinha em conserva, salsa, c/ molho de tomate (tomate, c/ oleo, cebola e alho), s/ sal",140,"5,43","0,02","7,69",155,"0,10","69,3","13,0","26,1","1,27","0,03","3,84","1,03","0,81","0,58"
